time,OB1_-25.0,OB1_-162.0,OB1_-326.0,OB2_-25.0,OB2_-50.0,OB2_-101.0,OB3_-25.0,OB3_-60.0,OB3_-121.0,OB4_-25.0,OB4_-99.0,OB4_-199.0,OB5_-25.0,OB5_-50.0,OB5_-73.0
11.09462806106,-5.696404340712122,-10.21146765276346,-20.43209730742406,-15.44513690589019,-15.51810046891699,-16.12302915584744,-22.31668603696490,-23.33938223176952,-26.25343716831162,-8.583876921578582,-11.09297107828742,-18.48179417337359,-22.63583754323103,-22.69651488537348,-22.73351712865204
23.29871892822,-5.703601988011178,-10.26534720112278,-20.84174214144685,-15.47987413173506,-15.55798779675590,-16.19573390546555,-22.34058131560992,-23.41484381582726,-26.46770461240481,-8.594774027597211,-11.19919891789985,-18.82573582718517,-22.65047981323219,-22.71326979960234,-22.75182611167061
36.72321888210,-5.712807435491680,-10.33820553595586,-21.05824697847843,-15.52182061152348,-15.60166358287088,-16.25237363357209,-22.37120238138616,-23.47164748482085,-26.59256021726574,-8.608938248702316,-11.28939339619114,-18.98920106482789,-22.67080255201178,-22.73550989745300,-22.77550716294144
51.49016883136,-5.724383718418380,-10.42216697014832,-21.20541380269725,-15.56768544058887,-15.64757262715278,-16.30175097012082,-22.40810139342425,-23.52239777492938,-26.67914348342583,-8.626090836932297,-11.35725480251325,-19.08786366165766,-22.69705146163824,-22.76336946448715,-22.80461865014368
67.73381377556,-5.738611753567494,-10.51016906639024,-21.32210779981900,-15.61577752909567,-15.69499480851495,-16.34841370378377,-22.45060032708437,-23.57234218625687,-26.74858782963154,-8.646016963325055,-11.40839559068312,-19.15830471996665,-22.72917876690648,-22.79672493846091,-22.83897848204168
85.60182321417,-5.755701412937547,-10.59690074076953,-21.42082688075908,-15.66530694348045,-15.74358740175756,-16.39430807231185,-22.49758906155708,-23.62300779892163,-26.80970279600626,-8.668627226530539,-11.44957200330440,-19.21309761022060,-22.76695468651598,-22.83534162927000,-22.87834262524421
105.2566335966,-5.775807452496727,-10.67900959990781,-21.50674134075610,-15.71597415915262,-15.79325797557506,-16.44040776841624,-22.55008857690570,-23.67672374423000,-26.86642293322118,-8.693940491804430,-11.48585149808079,-19.25939309079893,-22.80988694364472,-22.87871661022658,-22.92219197560033
126.8769250174,-5.799057487984764,-10.75488927831742,-21.58237366058347,-15.76784904729262,-15.84418862081657,-16.48749665553806,-22.60896440428386,-23.73471583497863,-26.92122163079265,-8.722064925460730,-11.52034790743669,-19.30013665649851,-22.85758723446121,-22.92656721076411,-22.97031142005125
150.6592455802,-5.825560884803511,-10.82420341082191,-21.64882714381286,-15.82095401861351,-15.89637285094175,-16.53554442740171,-22.67338414634182,-23.79622930750644,-26.97456000497430,-8.753143683848945,-11.55475580535116,-19.33681986558235,-22.90946937106937,-22.97830885068305,-23.02211702854504
176.8197981992,-5.855432322148708,-10.88755753268850,-21.70828844044053,-15.87551004623730,-15.95010462839353,-16.58514708860905,-22.74278158749789,-23.86127493302482,-27.02781837106964,-8.787368032322886,-11.59033376647306,-19.37201830954949,-22.96487155792829,-23.03334741482323,-23.07703855939050
205.5964060802,-5.888803184678684,-10.94608043008850,-21.76210562483416,-15.93183164493778,-16.00568031575835,-16.63674450273984,-22.81671564984624,-23.92979979450892,-27.08188266498189,-8.824962417225841,-11.62789169968045,-19.40675335513557,-23.02384432093242,-23.09192181385739,-23.13546341416154
237.2506747493,-5.925815945095858,-11.00100100667567,-21.81005490215300,-15.99008743865328,-16.06323379077060,-16.69030096066626,-22.89479167679974,-24.00155834629719,-27.13676351441545,-8.866155498146455,-11.66781992168504,-19.44091502542513,-23.08575821231866,-23.15328184139353,-23.19656036922946
272.0703702853,-5.966629306066854,-11.05354924193296,-21.85306718613550,-16.05033724489473,-16.12280420972733,-16.74578162386094,-22.97662278340307,-24.07623819922052,-27.19226552727179,-8.911189648408554,-11.71050244526688,-19.47518029345287,-23.15020060788884,-23.21709871204424,-23.26004811781806
310.3720353749,-6.011424260352833,-11.10488483069961,-21.89202333477882,-16.11276212476105,-16.18459012918205,-16.80351040727523,-23.06191874685165,-24.15386055179851,-27.24922474210589,-8.960325056912165,-11.75627738857038,-19.50992443946168,-23.21840211900736,-23.28488664930831,-23.32762026205465
352.5038669734,-6.060374558799765,-11.15599112980951,-21.92744070343480,-16.17740206084984,-16.24860774145667,-16.86342474199117,-23.15036887967829,-24.23415830174842,-27.30746570292762,-9.013792732817542,-11.80539060162028,-19.54533880978826,-23.28812103165622,-23.35385017160585,-23.39616058455566
398.8488817318,-6.113665230163871,-11.20765360385075,-21.95938128666056,-16.24403838945677,-16.31460084408164,-16.92505681044466,-23.24161327601800,-24.31671576063676,-27.36638403210349,-9.071807438536471,-11.85782735970745,-19.58040828034439,-23.36135670576083,-23.42664297437169,-23.46867739258653
449.8283979660,-6.171472278929095,-11.26069617543817,-21.98981807366745,-16.31316398924639,-16.38316883792367,-16.98962277367993,-23.33543186344553,-24.40178245983419,-27.42753988370125,-9.134582248376564,-11.91426026201064,-19.61794423720417,-23.43591543268069,-23.50049413194481,-23.54209069635609
505.9058658237,-6.233963051973824,-11.31567773019675,-22.01821776795784,-16.38443821395878,-16.45385487029691,-17.05604471756773,-23.43132393574150,-24.48884850567345,-27.49041369655211,-9.202259135086551,-11.97443205273193,-19.65550464308790,-23.51330278977402,-23.57738780513611,-23.61866995250966
567.5910804671,-6.301276904957881,-11.37299350343235,-22.04476148348486,-16.45777292783778,-16.52660682428228,-17.12450221144973,-23.52936472676172,-24.57797346749735,-27.55488944087267,-9.274923219048691,-12.03848892957395,-19.69399112510808,-23.59287824511839,-23.65641944979807,-23.69735255718382
635.4448165749,-6.373529893056368,-11.43310105050940,-22.07077795469181,-16.53335568668383,-16.60164841460030,-17.19540378579890,-23.62969961998250,-24.66941258147816,-27.62158532741574,-9.352602360492304,-12.10663803680841,-19.73419237269367,-23.67418478102018,-23.73717328791465,-23.77774762818897
710.0839262934,-6.450773789346475,-11.49610968985844,-22.09506016504180,-16.61055280323734,-16.67827380086608,-17.26762400999950,-23.73170512671494,-24.76222267602369,-27.68871437618271,-9.435181895682733,-12.17846677822312,-19.77424904145995,-23.75667810662770,-23.81910688430951,-23.85931423718443
792.1869469838,-6.533055908596965,-11.56223147596276,-22.11870244840482,-16.68916778732169,-16.75632383069591,-17.34125407921161,-23.83485002188638,-24.85612236046710,-27.75673540089615,-9.522491275392060,-12.25384415675482,-19.81459037630561,-23.84012964051635,-23.90202045577508,-23.94187097191444
882.5002697433,-6.620333939320763,-11.63163168269875,-22.14221924918684,-16.76888829463947,-16.83548676117666,-17.41599598437813,-23.93872396168371,-24.95086340301190,-27.82585004220572,-9.614220915355927,-12.33275830111173,-19.85624544332041,-23.92286109183623,-23.98414130993690,-24.02368543273733
981.8449247787,-6.712490107057254,-11.70440806502948,-22.16604473453906,-16.84913703196209,-16.91517678993290,-17.49119286429083,-24.04296082196749,-25.04609379235280,-27.89569217273901,-9.709893727538518,-12.41465405417499,-19.89809581150558,-24.00789528592842,-24.06880165988297,-24.10801732572308
1091.124045318,-6.809359813129344,-11.78048691308026,-22.18971053571598,-16.93017502261285,-16.99570550943395,-17.56750827129511,-24.14727177701215,-25.14166445462561,-27.96657237628017,-9.809026263667340,-12.49941460578390,-19.94124102144976,-24.09307571537017,-24.15351533254407,-24.19240270417605
1211.331077910,-6.910563417675758,-11.85930291755735,-22.21196686325014,-17.01074955174706,-17.07573879185681,-17.64310987971608,-24.25053813087592,-25.23610665792535,-28.03605445135433,-9.910773142298563,-12.58574643822374,-19.98276981829060,-24.17824307962106,-24.23825217164245,-24.27685069649432
1343.558813763,-7.015720980717582,-11.94093565577849,-22.23497101001798,-17.09068497671256,-17.15516644980313,-17.71829695294524,-24.35279587647981,-25.32997593431505,-28.10608456865313,-10.01437998086312,-12.67361904365451,-20.02524032854828,-24.26223116629879,-24.32179641275501,-24.36009371556074
1489.009323200,-7.124319868869657,-12.02484594354362,-22.25704884464202,-17.16929247660222,-17.23327794126718,-17.79223192697521,-24.45335590341672,-25.42228074403022,-28.17486712781202,-10.11891928237734,-12.76201619606010,-20.06695128746439,-24.34460725246161,-24.40375641501199,-24.44176865320821
1649.004883581,-7.235535680156669,-12.11046696332915,-22.27881484104174,-17.24575181552438,-17.30924956484328,-17.86412483890843,-24.55145772883442,-25.51236282168629,-28.24205178465574,-10.22332381273222,-12.85019672278487,-20.10828460905672,-24.42449865340037,-24.48323969395741,-24.52097455954974
1825.000000000,-7.348647549762492,-12.19731115951283,-22.30044451232239,-17.31984091947058,-17.38288729544759,-17.93389643017848,-24.64649677985184,-25.59973841251793,-28.30753103303261,-10.32645898307017,-12.93696546577102,-20.14776904254873,-24.50174271136884,-24.56011679896974,-24.59759828868401
