time,OB1_-25.0,OB1_-162.0,OB1_-326.0,OB2_-25.0,OB2_-50.0,OB2_-101.0,OB3_-25.0,OB3_-60.0,OB3_-121.0,OB4_-25.0,OB4_-99.0,OB4_-199.0,OB5_-25.0,OB5_-50.0,OB5_-73.0
18.44342437976,-.8201925320736073,-12.17454207139821,-18.88362454104111,-14.43367649391237,-14.88248292944199,-15.70334335028361,-18.94354507846133,-22.18067754902032,-25.58856264966441,-4.728049235883830,-11.45055706270195,-17.85779780985677,-22.07143916863289,-22.23249501816585,-22.33366033599291
40.57553363547,-.8226047266278650,-12.26831682021034,-19.14137766799535,-14.47589663780427,-14.93640906211427,-15.77986364239089,-18.96046668878214,-22.27674954894683,-25.76205886027874,-4.732547285312168,-11.61414273269954,-18.09540751543637,-22.08856752659412,-22.25470131426058,-22.36060201832329
67.13406474233,-.8276769322437929,-12.39606436805196,-19.28572379223425,-14.51850286986619,-14.98218146282426,-15.83341993773115,-18.98527601722666,-22.33924374397921,-25.86117816722849,-4.739500626366036,-11.74846124759516,-18.21503838206376,-22.11418860147974,-22.28345733446421,-22.39257190259751
99.00430207056,-.8363065133998179,-12.54148113852867,-19.39350815804931,-14.56442771979596,-15.02845397081630,-15.88224412665833,-19.01836474105993,-22.39337959312394,-25.93707784831535,-4.749004767102167,-11.84637867433119,-18.29922525328406,-22.14872975084752,-22.31994919863840,-22.43139363425871
137.2485868644,-.8487815073207110,-12.68956609837374,-19.48177642802427,-14.61394818508624,-15.07691988033472,-15.93054603240166,-19.05986270140897,-22.44656703524214,-26.00297506538460,-4.761276795921929,-11.91647483968977,-18.36477783698771,-22.19186309118845,-22.36392124856794,-22.47675864732202
183.1417286171,-.8655353925198612,-12.82917542937606,-19.55724158673625,-14.66734631015311,-15.12858704803637,-15.98047249617250,-19.11072623600310,-22.50246981660955,-26.06476276865664,-4.776786269626953,-11.96937785814938,-18.41987532431887,-22.24320699299431,-22.41520675872034,-22.52873103853123
238.2134987202,-.8871033645531887,-12.95366839738607,-19.62278567586398,-14.72454415374282,-15.18361726744306,-16.03266205264694,-19.16986626341030,-22.56089558140152,-26.12342783506396,-4.796045042098627,-12.01255018829090,-18.46686841650513,-22.30193673606779,-22.47321273095323,-22.58678645530580
304.2996228441,-.9136683906167753,-13.06069936120299,-19.68123254466893,-14.78534779977548,-15.24193518125820,-16.08729958565045,-19.23560381549798,-22.62169181961620,-26.18036986543127,-4.819725395691641,-12.05148337768328,-18.50979976816765,-22.36659327398663,-22.53655670417448,-22.64964241064763
383.6029717926,-.9455574121932604,-13.15073765908331,-19.73220745032777,-14.84911441382289,-15.30291553065031,-16.14383848950911,-19.30774185498587,-22.68508240302404,-26.23567462784503,-4.848655160454520,-12.08896150453295,-18.54876807685539,-22.43629482186999,-22.60474926915822,-22.71704413266603
478.7669905309,-.9825972924605292,-13.22656666635878,-19.77887676567584,-14.91603325012285,-15.36701660932331,-16.20328476197867,-19.38578680761686,-22.75212899263530,-26.29210455010675,-4.883639817140459,-12.12786268600171,-18.58753450450093,-22.50972584056184,-22.67652569420775,-22.78781557188807
592.9638130169,-1.024825139477062,-13.29111058044906,-19.81942622730178,-14.98558104764665,-15.43361988161338,-16.26473544010047,-19.47028034947041,-22.82232101674534,-26.34767272622626,-4.925567417246096,-12.16878507334442,-18.62445336405685,-22.58574703100830,-22.75088877986131,-22.86106122661908
730.0000000000,-1.072164357628539,-13.34773383547284,-19.85557422439227,-15.05850377427589,-15.50376508522862,-16.32978755035842,-19.55695771991459,-22.89416361680512,-26.40453623341040,-4.975246598397805,-12.21317145351352,-18.66169699643892,-22.66386249585793,-22.82749376350756,-22.93658783277674
