time,OB1_-25.0,OB1_-162.0,OB1_-326.0,OB2_-25.0,OB2_-50.0,OB2_-101.0,OB3_-25.0,OB3_-60.0,OB3_-121.0,OB4_-25.0,OB4_-99.0,OB4_-199.0,OB5_-25.0,OB5_-50.0,OB5_-73.0
11.09462806106,-5.639351568624566,-10.15965544312720,-20.51164576165727,-15.31593554151685,-15.69916301536905,-16.17722340942234,-22.36145579204361,-23.54522672900747,-26.35082515898994,-8.557836303799574,-11.27201306043717,-18.77543557543276,-22.42582502294678,-22.69195073276467,-22.83798009042605
23.29871892822,-5.646756152720485,-10.20094476485782,-20.83427044527343,-15.35294697870081,-15.75906516753450,-16.26172160078665,-22.38481395950463,-23.63077367757433,-26.56397493172168,-8.569079143907716,-11.37891628688078,-19.10328793780588,-22.44174150870573,-22.71599111024399,-22.86721466437005
36.72321888210,-5.656061748129705,-10.25770711980973,-20.98805534189127,-15.39589722579587,-15.80834683870522,-16.31966640776314,-22.41414741471961,-23.69059698638723,-26.68304606661134,-8.583852168507489,-11.47484704902783,-19.25706643358923,-22.46225454914827,-22.74207562877744,-22.89690124033246
51.49016883136,-5.667669159739885,-10.32550981397274,-21.09951912783633,-15.44175381605227,-15.85354071453877,-16.36665701655692,-22.44931865387471,-23.74131702614308,-26.76371825324903,-8.601954869304263,-11.55063474071162,-19.35388490383711,-22.48723595411812,-22.77113106993008,-22.92867221968190
67.73381377556,-5.681926557594179,-10.39994879223417,-21.19761439605782,-15.48934239974803,-15.89792952766833,-16.41001635477488,-22.49020187190007,-23.79038850350158,-26.82806962390262,-8.623175024703649,-11.60935376891954,-19.42550607679986,-22.51670126902878,-22.80364609285382,-22.96330419993059
85.60182321417,-5.699123876876147,-10.47719423158392,-21.28794669265088,-15.53818849980967,-15.94260914680383,-16.45230173760799,-22.53651370403946,-23.84029042762923,-26.88431385622502,-8.647388236745817,-11.65679719358632,-19.48280209262327,-22.55065014598983,-22.83975258103575,-23.00100528827713
105.2566335966,-5.719502375673759,-10.55430391348132,-21.37217295189134,-15.58824979288007,-15.98835180303741,-16.49508358322555,-22.58806631672435,-23.89232179992113,-26.93688770479504,-8.674592247080318,-11.69810190951914,-19.53221139175174,-22.58909270492642,-22.87961349512730,-23.04202751200391
126.8769250174,-5.743268360075434,-10.62931021801117,-21.45079676316027,-15.63967304649774,-16.03559465339708,-16.53913722844905,-22.64676533233997,-23.94944793914642,-26.98835062701357,-8.704886472337419,-11.73685478890807,-19.57692474003698,-22.63206563037226,-22.92340862412483,-23.08662499883351
150.6592455802,-5.770585144500822,-10.70112298771563,-21.52428110303110,-15.69256005165868,-16.08442757843135,-16.58463186459824,-22.71140324485455,-24.00996606674351,-27.03912837045706,-8.738393253291832,-11.77514187636138,-19.61811284307841,-22.67958220992006,-22.97123042981869,-23.13485268234564
176.8197981992,-5.801617565731944,-10.76946434398796,-21.59354017872831,-15.74723957876244,-16.13538104389364,-16.63232453989693,-22.78115102559543,-24.07374930883179,-27.09082823050424,-8.775317314221796,-11.81444596022610,-19.65796274980972,-22.73138793251575,-23.02264497305557,-23.18630516062890
205.5964060802,-5.836529222932592,-10.83460190851093,-21.65853153068106,-15.80377473516850,-16.18824814679964,-16.68180145811228,-22.85536534127959,-24.14041197213894,-27.14277402433481,-8.815880402898127,-11.85555197899024,-19.69635762225787,-22.78700026640336,-23.07712695770214,-23.24039649156283
237.2506747493,-5.875470115106742,-10.89714775350499,-21.71994635318456,-15.86247375265556,-16.24355553118464,-16.73384922477050,-22.93373036434018,-24.21041292334030,-27.19648482820045,-8.860281336545944,-11.89899356828831,-19.73436201205451,-22.84638028654799,-23.13515711078941,-23.29790904259226
272.0703702853,-5.918623272408243,-10.95792215225929,-21.77783257613240,-15.92350494912958,-16.30131657001100,-16.78835226243016,-23.01591957103858,-24.28343554074409,-27.25149208290396,-8.908768500935810,-11.94519734532262,-19.77216739125766,-22.90852982433935,-23.19509809345783,-23.35699231538356
310.3720353749,-5.966163034435343,-11.01782311310472,-21.83294710052337,-15.98688794677661,-16.36145846509514,-16.84515597750474,-23.10163264283012,-24.35937864613390,-27.30797726424814,-8.961549426272919,-11.99450955576161,-19.81033288516584,-22.97377052733701,-23.25837892247112,-23.41941972587724
352.5038669734,-6.018328504191779,-11.07775122457224,-21.88523180037770,-16.05246598118410,-16.42367951636844,-16.90384916760757,-23.19057945155161,-24.43801442687402,-27.36575938419745,-9.018907249542057,-12.04718737599188,-19.84872227501889,-23.04165425795834,-23.32401956425640,-23.48413096351043
398.8488817318,-6.075317634509586,-11.13848613605913,-21.93508342150297,-16.12073909726813,-16.48893525923424,-16.96582196538816,-23.28220121015130,-24.51911173640994,-27.42559696481345,-9.081036373056541,-12.10357409837101,-19.88833575187287,-23.11229167460016,-23.39253098954454,-23.55170572592941
449.8283979660,-6.137346732749050,-11.20064724379404,-21.98212111532232,-16.19140106431904,-16.55640337920017,-17.02980602156879,-23.37604150151726,-24.60207294733490,-27.48630361384038,-9.148122452592661,-12.16365041681021,-19.92826567648919,-23.18557254964569,-23.46367340700308,-23.62175537169786
505.9058658237,-6.204552325470935,-11.26488990463411,-22.02796233692164,-16.26461193887065,-16.62658147596700,-17.09656998326334,-23.47226752278734,-24.68770416089957,-27.54962530176429,-9.220219054464474,-12.22779866589469,-19.97000769061246,-23.26208501774404,-23.53837878206756,-23.69542236659698
